symbol,name,field_of_work
TOASO,TOFAŞ TÜRK OTOMOBİL FABRİKASI A.Ş.,Otomotiv
TUKAS,TUKAŞ GIDA SANAYİ VE TİCARET A.Ş.,Gıda
TCELL,TURKCELL İLETİŞİM HİZMETLERİ A.Ş.,İletişim
TMSN,TÜMOSAN MOTOR VE TRAKTÖR SANAYİ A.Ş.,Makine
TUPRS,TÜPRAŞ-TÜRKİYE PETROL RAFİNERİLERİ A.Ş.,Petrol
THYAO,TÜRK HAVA YOLLARI A.O.,Havacılık
TTKOM,TÜRK TELEKOMÜNİKASYON A.Ş.,İletişim
TTRAK,TÜRK TRAKTÖR VE ZİRAAT MAKİNELERİ A.Ş.,Makine
GARAN,TÜRKİYE GARANTİ BANKASI A.Ş.,Banka
HALKB,TÜRKİYE HALK BANKASI A.Ş.,Banka
ISCTR,TÜRKİYE İŞ BANKASI A.Ş.,Banka
TSKB,TÜRKİYE SINAİ KALKINMA BANKASI A.Ş.,Banka
TURSG,TÜRKİYE SİGORTA A.Ş.,Sigorta
SISE,TÜRKİYE ŞİŞE VE CAM FABRİKALARI A.Ş.,Cam
VAKBN,TÜRKİYE VAKIFLAR BANKASI T.A.O.,Banka
ULKER,ÜLKER BİSKÜVİ SANAYİ A.Ş.,Gıda
VESBE,VESTEL BEYAZ EŞYA SANAYİ VE TİCARET A.Ş.,Elektronik
VESTL,VESTEL ELEKTRONİK SANAYİ VE TİCARET A.Ş.,Elektronik
YKBNK,YAPI VE KREDİ BANKASI A.Ş.,Banka
YEOTK,YEO TEKNOLOJİ ENERJİ VE ENDÜSTRİ A.Ş.,Teknoloji
ZOREN,ZORLU ENERJİ ELEKTRİK ÜRETİM A.Ş.,Enerji
BINHO,1000 YATIRIMLAR HOLDİNG A.Ş.,Holding
